成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
上饶市地质队 4室2厅 123.99平米,78,高楼层(共7层) 板楼,6251,东南|精装,2021.03.14
,,,,,
红海外滩 1室1厅 47.03平米,41,高楼层(共27层) 板塔结合,8697,东南|精装,2021.03.14
,,,,,
顺旺小区 3室2厅 109.11平米,70,低楼层(共8层) 暂无数据,6416,南北|简装,2021.03.14
,,,,,
奥林至尊 2室2厅 99.44平米,89,中楼层(共27层) 板楼,8931,南|精装,2021.03.14
,,,,,
友邦玫瑰公馆 3室2厅 101.68平米,73,高楼层(共33层) 板楼,7180,南|毛坯,2021.03.14
,,,,,
地委大院 2室1厅 69.18平米,64,高楼层(共4层) 板楼,9159,南|简装,2021.03.13
,,,,,
龙华凤凰城 1室1厅 45.06平米,66,高楼层(共17层) 板楼,14510,南|精装,2021.03.13
,,,,,
水南街客车厂 3室1厅 72平米,36,高楼层(共6层) 板楼,4931,南|简装,2021.03.13
,,,,,
铁路新村 2室2厅 53.28平米,45,高楼层(共5层) 暂无数据,8446,南|简装,2021.03.13
,,,,,
凤凰家园 3室2厅 125.66平米,96,高楼层(共17层) 板塔结合,7640,东南|毛坯,2021.03.13
,,,,,
金龙城 1室0厅 38平米,48,中楼层(共11层) 板楼,12632,南|精装,2021.03.13
,,,,,
江光小区 2室2厅 58平米,38,高楼层(共5层) 板楼,6552,南|简装,2021.03.13
,,,,,
河东巷9号 2室1厅 64.5平米,47,低楼层(共7层) 暂无数据,7287,南|精装,2021.03.13
,,,,,
明阳大学公馆 3室2厅 98.12平米,75,中楼层(共17层) 板楼,7644,南北|简装,2021.03.13
,,,,,
江南商贸城 3室2厅 97.9平米,74,低楼层(共3层) 板楼,7557,南|精装,2021.03.13
,,,,,
香樟花園 4室2厅 132.4平米,100,中楼层(共6层) 板塔结合,7553,南|精装,2021.03.13
,,,,,
天一尊邸 2室2厅 89.27平米,58,高楼层(共6层) 板楼,6442,南北|毛坯,2021.03.12
,,,,,
龙湖一品 2室1厅 56.45平米,58,高楼层(共17层) 板楼,10240,南|毛坯,2021.03.12
,,,,,
螺丝山路 2室1厅 52.79平米,46,中楼层(共6层) 板塔结合,8714,南北|简装,2021.03.12
,,,,,
万达华府 4室2厅 123平米,124,中楼层(共30层) 板楼,10049,南|简装,2021.03.12
,,,,,
文英国际 3室2厅 97.4平米,71,低楼层(共11层) 板塔结合,7279,东|简装,2021.03.12
,,,,,
福利巷2号 3室2厅 120.1平米,70,中楼层(共7层) 板楼,5829,南|简装,2021.03.12
,,,,,
永隆米兰春天 1室1厅 41.49平米,42,低楼层(共11层) 板楼,10003,南|简装,2021.03.12
,,,,,
